# PORTX Broken Tools List - Sun, Aug  3, 2025  4:09:07 PM
# Format: category|tool_name|relative_path|error_message

PORTX-Core|git-bash|bin/git-bash.exe|Timeout or execution error
Package-android-tools|hprof-conv|packages/android-tools/utilities/hprof-conv.exe|Timeout or execution error
Package-azure-cli|pip|packages/azure-cli/Scripts/pip.exe|Timeout or execution error
Package-bandwhich|bandwhich|packages/bandwhich/bandwhich.exe|Timeout or execution error
Package-clamav|clambc|packages/clamav/clambc.exe|Timeout or execution error
Package-clamav|clamconf|packages/clamav/clamconf.exe|Timeout or execution error
Package-clamav|clamd|packages/clamav/clamd.exe|Timeout or execution error
Package-clamav|clamdscan|packages/clamav/clamdscan.exe|Timeout or execution error
Package-clamav|clamdtop|packages/clamav/clamdtop.exe|Timeout or execution error
Package-clamav|clamscan|packages/clamav/clamscan.exe|Timeout or execution error
Package-clamav|clamsubmit|packages/clamav/clamsubmit.exe|Timeout or execution error
Package-clamav|freshclam|packages/clamav/freshclam.exe|Timeout or execution error
Package-clamav|sigtool|packages/clamav/sigtool.exe|Timeout or execution error
Package-postman|newman|packages/postman/newman.exe|Timeout or execution error
Package-skopeo|gpgme-w32spawn|packages/skopeo/gpgme-w32spawn.exe|Timeout or execution error
Package-sysinternals|accesschk64|packages/sysinternals/accesschk64.exe|Timeout or execution error
Package-sysinternals|Contig64|packages/sysinternals/Contig64.exe|Timeout or execution error
Package-sysinternals|FindLinks64|packages/sysinternals/FindLinks64.exe|Timeout or execution error
Package-sysinternals|handle64|packages/sysinternals/handle64.exe|Timeout or execution error
Package-sysinternals|hex2dec64|packages/sysinternals/hex2dec64.exe|Timeout or execution error
Package-sysinternals|LogonSessions64|packages/sysinternals/LogonSessions64.exe|Timeout or execution error
Package-sysinternals|procdump64|packages/sysinternals/procdump64.exe|Timeout or execution error
Package-sysinternals|PsExec64|packages/sysinternals/PsExec64.exe|Timeout or execution error
Package-sysinternals|pskill64|packages/sysinternals/pskill64.exe|Timeout or execution error
Package-sysinternals|psping64|packages/sysinternals/psping64.exe|Timeout or execution error
Package-sysinternals|streams64|packages/sysinternals/streams64.exe|Timeout or execution error
Package-sysinternals|VolumeId64|packages/sysinternals/VolumeId64.exe|Timeout or execution error
Package-sysinternals|whois64|packages/sysinternals/whois64.exe|Timeout or execution error
Package-tinycc|tcc|packages/tinycc/tcc.exe|Timeout or execution error
Package-tinycc|tiny_impdef|packages/tinycc/tiny_impdef.exe|Timeout or execution error
Package-tinycc|tiny_libmaker|packages/tinycc/tiny_libmaker.exe|Timeout or execution error
